"","Count_180","idSensore","Year","Month","Zone","Area","Type"
"1",0,5707,2000,4,"A","S","B"
"2",3,5707,2000,5,"A","S","B"
"3",8,5707,2000,6,"A","S","B"
"4",5,5707,2000,7,"A","S","B"
"5",12,5707,2000,8,"A","S","B"
"6",5,5707,2000,9,"A","S","B"
"7",0,5707,2000,10,"A","S","B"
"8",0,5707,2001,4,"A","S","B"
"9",4,5707,2001,5,"A","S","B"
"10",6,5707,2001,6,"A","S","B"
"11",15,5707,2001,7,"A","S","B"
"12",14,5707,2001,8,"A","S","B"
"13",0,5707,2001,9,"A","S","B"
"14",1,5707,2001,10,"A","S","B"
"15",0,5707,2002,4,"A","S","B"
"16",2,5707,2002,5,"A","S","B"
"17",6,5707,2002,6,"A","S","B"
"18",NA,5707,2002,7,"A","S","B"
"19",2,5707,2002,8,"A","S","B"
"20",0,5707,2002,9,"A","S","B"
"21",0,5707,2002,10,"A","S","B"
"22",1,5707,2003,4,"A","S","B"
"23",4,5707,2003,5,"A","S","B"
"24",28,5707,2003,6,"A","S","B"
"25",19,5707,2003,7,"A","S","B"
"26",21,5707,2003,8,"A","S","B"
"27",6,5707,2003,9,"A","S","B"
"28",0,5707,2003,10,"A","S","B"
"29",0,5707,2004,4,"A","S","B"
"30",3,5707,2004,5,"A","S","B"
"31",10,5707,2004,6,"A","S","B"
"32",14,5707,2004,7,"A","S","B"
"33",4,5707,2004,8,"A","S","B"
"34",2,5707,2004,9,"A","S","B"
"35",0,5707,2004,10,"A","S","B"
"36",2,5707,2005,4,"A","S","B"
"37",17,5707,2005,5,"A","S","B"
"38",17,5707,2005,6,"A","S","B"
"39",11,5707,2005,7,"A","S","B"
"40",1,5707,2005,8,"A","S","B"
"41",3,5707,2005,9,"A","S","B"
"42",0,5707,2005,10,"A","S","B"
"43",0,5707,2006,4,"A","S","B"
"44",0,5707,2006,5,"A","S","B"
"45",NA,5707,2006,6,"A","S","B"
"46",25,5707,2006,7,"A","S","B"
"47",0,5707,2006,8,"A","S","B"
"48",4,5707,2006,9,"A","S","B"
"49",0,5707,2006,10,"A","S","B"
"50",0,5707,2007,4,"A","S","B"
"51",NA,5707,2007,5,"A","S","B"
"52",0,5707,2007,6,"A","S","B"
"53",7,5707,2007,7,"A","S","B"
"54",0,5707,2007,8,"A","S","B"
"55",0,5707,2007,9,"A","S","B"
"56",NA,5707,2007,10,"A","S","B"
"57",0,5707,2008,4,"A","S","B"
"58",0,5707,2008,5,"A","S","B"
"59",3,5707,2008,6,"A","S","B"
"60",NA,5707,2008,7,"A","S","B"
"61",4,5707,2008,8,"A","S","B"
"62",0,5707,2008,9,"A","S","B"
"63",0,5707,2008,10,"A","S","B"
"64",0,5707,2009,4,"A","S","B"
"65",0,5707,2009,5,"A","S","B"
"66",2,5707,2009,6,"A","S","B"
"67",NA,5707,2009,7,"A","S","B"
"68",6,5707,2009,8,"A","S","B"
"69",0,5707,2009,9,"A","S","B"
"70",0,5707,2009,10,"A","S","B"
"71",0,5707,2010,4,"A","S","B"
"72",0,5707,2010,5,"A","S","B"
"73",7,5707,2010,6,"A","S","B"
"74",12,5707,2010,7,"A","S","B"
"75",1,5707,2010,8,"A","S","B"
"76",0,5707,2010,9,"A","S","B"
"77",0,5707,2010,10,"A","S","B"
"78",0,5707,2011,4,"A","S","B"
"79",2,5707,2011,5,"A","S","B"
"80",4,5707,2011,6,"A","S","B"
"81",2,5707,2011,7,"A","S","B"
"82",2,5707,2011,8,"A","S","B"
"83",1,5707,2011,9,"A","S","B"
"84",0,5707,2011,10,"A","S","B"
"85",0,5707,2012,4,"A","S","B"
"86",0,5707,2012,5,"A","S","B"
"87",3,5707,2012,6,"A","S","B"
"88",3,5707,2012,7,"A","S","B"
"89",3,5707,2012,8,"A","S","B"
"90",0,5707,2012,9,"A","S","B"
"91",0,5707,2012,10,"A","S","B"
"92",0,5707,2013,4,"A","S","B"
"93",0,5707,2013,5,"A","S","B"
"94",4,5707,2013,6,"A","S","B"
"95",8,5707,2013,7,"A","S","B"
"96",6,5707,2013,8,"A","S","B"
"97",1,5707,2013,9,"A","S","B"
"98",0,5707,2013,10,"A","S","B"
"99",0,5707,2014,4,"A","S","B"
"100",NA,5707,2014,5,"A","S","B"
"101",5,5707,2014,6,"A","S","B"
"102",4,5707,2014,7,"A","S","B"
"103",0,5707,2014,8,"A","S","B"
"104",0,5707,2014,9,"A","S","B"
"105",0,5707,2014,10,"A","S","B"
"106",0,5707,2015,4,"A","S","B"
"107",1,5707,2015,5,"A","S","B"
"108",8,5707,2015,6,"A","S","B"
"109",17,5707,2015,7,"A","S","B"
"110",6,5707,2015,8,"A","S","B"
"111",0,5707,2015,9,"A","S","B"
"112",0,5707,2015,10,"A","S","B"
"113",0,5707,2016,4,"A","S","B"
"114",0,5707,2016,5,"A","S","B"
"115",3,5707,2016,6,"A","S","B"
"116",5,5707,2016,7,"A","S","B"
"117",2,5707,2016,8,"A","S","B"
"118",1,5707,2016,9,"A","S","B"
"119",0,5707,2016,10,"A","S","B"
"120",NA,5707,2017,4,"A","S","B"
"121",0,5707,2017,5,"A","S","B"
"122",5,5707,2017,6,"A","S","B"
"123",5,5707,2017,7,"A","S","B"
"124",6,5707,2017,8,"A","S","B"
"125",0,5707,2017,9,"A","S","B"
"126",0,5707,2017,10,"A","S","B"
"127",NA,5707,2018,4,"A","S","B"
"128",0,5707,2018,5,"A","S","B"
"129",1,5707,2018,6,"A","S","B"
"130",NA,5707,2018,7,"A","S","B"
"131",4,5707,2018,8,"A","S","B"
"132",0,5707,2018,9,"A","S","B"
"133",0,5707,2018,10,"A","S","B"
"134",0,5707,2019,4,"A","S","B"
"135",0,5707,2019,5,"A","S","B"
"136",8,5707,2019,6,"A","S","B"
"137",6,5707,2019,7,"A","S","B"
"138",0,5707,2019,8,"A","S","B"
"139",0,5707,2019,9,"A","S","B"
"140",NA,5707,2019,10,"A","S","B"
"141",NA,5707,2020,4,"A","S","B"
"142",0,5707,2020,5,"A","S","B"
"143",0,5707,2020,6,"A","S","B"
"144",3,5707,2020,7,"A","S","B"
"145",1,5707,2020,8,"A","S","B"
"146",0,5707,2020,9,"A","S","B"
"147",0,5707,2020,10,"A","S","B"
"148",NA,5707,2021,4,"A","S","B"
"149",0,5707,2021,5,"A","S","B"
"150",5,5707,2021,6,"A","S","B"
"151",1,5707,2021,7,"A","S","B"
"152",5,5707,2021,8,"A","S","B"
"153",NA,5707,2021,9,"A","S","B"
"154",0,5707,2021,10,"A","S","B"
"155",0,5707,2022,4,"A","S","B"
"156",0,5707,2022,5,"A","S","B"
"157",7,5707,2022,6,"A","S","B"
"158",9,5707,2022,7,"A","S","B"
"159",3,5707,2022,8,"A","S","B"
"160",0,5707,2022,9,"A","S","B"
"161",0,5707,2022,10,"A","S","B"
"162",0,5707,2023,4,"A","S","B"
"163",0,5707,2023,5,"A","S","B"
"164",NA,5707,2023,6,"A","S","B"
"165",1,5707,2023,7,"A","S","B"
"166",3,5707,2023,8,"A","S","B"
"167",NA,5707,2023,9,"A","S","B"
"168",NA,5707,2023,10,"A","S","B"
"169",0,5710,2000,4,"Cities","U","B"
"170",0,5710,2000,5,"Cities","U","B"
"171",7,5710,2000,6,"Cities","U","B"
"172",5,5710,2000,7,"Cities","U","B"
"173",17,5710,2000,8,"Cities","U","B"
"174",3,5710,2000,9,"Cities","U","B"
"175",0,5710,2000,10,"Cities","U","B"
"176",NA,5710,2001,4,"Cities","U","B"
"177",8,5710,2001,5,"Cities","U","B"
"178",11,5710,2001,6,"Cities","U","B"
"179",20,5710,2001,7,"Cities","U","B"
"180",21,5710,2001,8,"Cities","U","B"
"181",0,5710,2001,9,"Cities","U","B"
"182",0,5710,2001,10,"Cities","U","B"
"183",0,5710,2002,4,"Cities","U","B"
"184",1,5710,2002,5,"Cities","U","B"
"185",NA,5710,2002,6,"Cities","U","B"
"186",6,5710,2002,7,"Cities","U","B"
"187",1,5710,2002,8,"Cities","U","B"
"188",0,5710,2002,9,"Cities","U","B"
"189",0,5710,2002,10,"Cities","U","B"
"190",0,5710,2003,4,"Cities","U","B"
"191",2,5710,2003,5,"Cities","U","B"
"192",16,5710,2003,6,"Cities","U","B"
"193",10,5710,2003,7,"Cities","U","B"
"194",14,5710,2003,8,"Cities","U","B"
"195",2,5710,2003,9,"Cities","U","B"
"196",0,5710,2003,10,"Cities","U","B"
"197",0,5710,2004,4,"Cities","U","B"
"198",0,5710,2004,5,"Cities","U","B"
"199",3,5710,2004,6,"Cities","U","B"
"200",5,5710,2004,7,"Cities","U","B"
"201",2,5710,2004,8,"Cities","U","B"
"202",2,5710,2004,9,"Cities","U","B"
"203",0,5710,2004,10,"Cities","U","B"
"204",0,5710,2005,4,"Cities","U","B"
"205",5,5710,2005,5,"Cities","U","B"
"206",9,5710,2005,6,"Cities","U","B"
"207",6,5710,2005,7,"Cities","U","B"
"208",0,5710,2005,8,"Cities","U","B"
"209",1,5710,2005,9,"Cities","U","B"
"210",0,5710,2005,10,"Cities","U","B"
"211",0,5710,2006,4,"Cities","U","B"
"212",0,5710,2006,5,"Cities","U","B"
"213",7,5710,2006,6,"Cities","U","B"
"214",NA,5710,2006,7,"Cities","U","B"
"215",0,5710,2006,8,"Cities","U","B"
"216",1,5710,2006,9,"Cities","U","B"
"217",0,5710,2006,10,"Cities","U","B"
"218",NA,5710,2007,4,"Cities","U","B"
"219",1,5710,2007,5,"Cities","U","B"
"220",0,5710,2007,6,"Cities","U","B"
"221",1,5710,2007,7,"Cities","U","B"
"222",0,5710,2007,8,"Cities","U","B"
"223",0,5710,2007,9,"Cities","U","B"
"224",0,5710,2007,10,"Cities","U","B"
"225",0,5710,2008,4,"Cities","U","B"
"226",NA,5710,2008,5,"Cities","U","B"
"227",1,5710,2008,6,"Cities","U","B"
"228",1,5710,2008,7,"Cities","U","B"
"229",2,5710,2008,8,"Cities","U","B"
"230",0,5710,2008,9,"Cities","U","B"
"231",NA,5710,2008,10,"Cities","U","B"
"232",0,5710,2009,4,"Cities","U","B"
"233",1,5710,2009,5,"Cities","U","B"
"234",5,5710,2009,6,"Cities","U","B"
"235",NA,5710,2009,7,"Cities","U","B"
"236",3,5710,2009,8,"Cities","U","B"
"237",0,5710,2009,9,"Cities","U","B"
"238",0,5710,2009,10,"Cities","U","B"
"239",NA,5710,2010,4,"Cities","U","B"
"240",0,5710,2010,5,"Cities","U","B"
"241",5,5710,2010,6,"Cities","U","B"
"242",15,5710,2010,7,"Cities","U","B"
"243",NA,5710,2010,8,"Cities","U","B"
"244",0,5710,2010,9,"Cities","U","B"
"245",0,5710,2010,10,"Cities","U","B"
"246",0,5710,2011,4,"Cities","U","B"
"247",NA,5710,2011,5,"Cities","U","B"
"248",3,5710,2011,6,"Cities","U","B"
"249",NA,5710,2011,7,"Cities","U","B"
"250",NA,5710,2011,8,"Cities","U","B"
"251",0,5710,2011,9,"Cities","U","B"
"252",0,5710,2011,10,"Cities","U","B"
"253",NA,5710,2012,4,"Cities","U","B"
"254",0,5710,2012,5,"Cities","U","B"
"255",3,5710,2012,6,"Cities","U","B"
"256",1,5710,2012,7,"Cities","U","B"
"257",NA,5710,2012,8,"Cities","U","B"
"258",0,5710,2012,9,"Cities","U","B"
"259",0,5710,2012,10,"Cities","U","B"
"260",0,5710,2013,4,"Cities","U","B"
"261",0,5710,2013,5,"Cities","U","B"
"262",5,5710,2013,6,"Cities","U","B"
"263",12,5710,2013,7,"Cities","U","B"
"264",NA,5710,2013,8,"Cities","U","B"
"265",0,5710,2013,9,"Cities","U","B"
"266",0,5710,2013,10,"Cities","U","B"
"267",0,5710,2014,4,"Cities","U","B"
"268",NA,5710,2014,5,"Cities","U","B"
"269",6,5710,2014,6,"Cities","U","B"
"270",0,5710,2014,7,"Cities","U","B"
"271",0,5710,2014,8,"Cities","U","B"
"272",0,5710,2014,9,"Cities","U","B"
"273",0,5710,2014,10,"Cities","U","B"
"274",0,5710,2015,4,"Cities","U","B"
"275",0,5710,2015,5,"Cities","U","B"
"276",3,5710,2015,6,"Cities","U","B"
"277",6,5710,2015,7,"Cities","U","B"
"278",2,5710,2015,8,"Cities","U","B"
"279",0,5710,2015,9,"Cities","U","B"
"280",0,5710,2015,10,"Cities","U","B"
"281",0,5710,2016,4,"Cities","U","B"
"282",0,5710,2016,5,"Cities","U","B"
"283",3,5710,2016,6,"Cities","U","B"
"284",3,5710,2016,7,"Cities","U","B"
"285",0,5710,2016,8,"Cities","U","B"
"286",0,5710,2016,9,"Cities","U","B"
"287",0,5710,2016,10,"Cities","U","B"
"288",0,5710,2017,4,"Cities","U","B"
"289",NA,5710,2017,5,"Cities","U","B"
"290",2,5710,2017,6,"Cities","U","B"
"291",0,5710,2017,7,"Cities","U","B"
"292",4,5710,2017,8,"Cities","U","B"
"293",0,5710,2017,9,"Cities","U","B"
"294",NA,5710,2017,10,"Cities","U","B"
"295",0,5710,2018,4,"Cities","U","B"
"296",0,5710,2018,5,"Cities","U","B"
"297",0,5710,2018,6,"Cities","U","B"
"298",2,5710,2018,7,"Cities","U","B"
"299",1,5710,2018,8,"Cities","U","B"
"300",0,5710,2018,9,"Cities","U","B"
"301",NA,5710,2018,10,"Cities","U","B"
"302",0,5710,2019,4,"Cities","U","B"
"303",0,5710,2019,5,"Cities","U","B"
"304",6,5710,2019,6,"Cities","U","B"
"305",4,5710,2019,7,"Cities","U","B"
"306",0,5710,2019,8,"Cities","U","B"
"307",0,5710,2019,9,"Cities","U","B"
"308",NA,5710,2019,10,"Cities","U","B"
"309",0,5710,2020,4,"Cities","U","B"
"310",0,5710,2020,5,"Cities","U","B"
"311",0,5710,2020,6,"Cities","U","B"
"312",NA,5710,2020,7,"Cities","U","B"
"313",0,5710,2020,8,"Cities","U","B"
"314",1,5710,2020,9,"Cities","U","B"
"315",0,5710,2020,10,"Cities","U","B"
"316",0,5710,2021,4,"Cities","U","B"
"317",0,5710,2021,5,"Cities","U","B"
"318",1,5710,2021,6,"Cities","U","B"
"319",0,5710,2021,7,"Cities","U","B"
"320",5,5710,2021,8,"Cities","U","B"
"321",NA,5710,2021,9,"Cities","U","B"
"322",0,5710,2021,10,"Cities","U","B"
"323",0,5710,2022,4,"Cities","U","B"
"324",0,5710,2022,5,"Cities","U","B"
"325",3,5710,2022,6,"Cities","U","B"
"326",1,5710,2022,7,"Cities","U","B"
"327",0,5710,2022,8,"Cities","U","B"
"328",0,5710,2022,9,"Cities","U","B"
"329",0,5710,2022,10,"Cities","U","B"
