"","Count_180","idSensore","Year","Month","Count_120"
"1",0,5707,2000,4,2
"2",3,5707,2000,5,17
"3",8,5707,2000,6,23
"4",5,5707,2000,7,18
"5",12,5707,2000,8,22
"6",5,5707,2000,9,10
"7",0,5707,2000,10,0
"8",0,5707,2001,4,2
"9",4,5707,2001,5,17
"10",6,5707,2001,6,19
"11",15,5707,2001,7,25
"12",14,5707,2001,8,27
"13",0,5707,2001,9,1
"14",1,5707,2001,10,1
"15",0,5707,2002,4,9
"16",2,5707,2002,5,16
"17",6,5707,2002,6,20
"18",NA,5707,2002,7,NA
"19",2,5707,2002,8,19
"20",0,5707,2002,9,5
"21",0,5707,2002,10,0
"22",1,5707,2003,4,13
"23",4,5707,2003,5,26
"24",28,5707,2003,6,30
"25",19,5707,2003,7,29
"26",21,5707,2003,8,29
"27",6,5707,2003,9,11
"28",0,5707,2003,10,0
"29",0,5707,2004,4,8
"30",3,5707,2004,5,17
"31",10,5707,2004,6,22
"32",14,5707,2004,7,28
"33",4,5707,2004,8,22
"34",2,5707,2004,9,15
"35",0,5707,2004,10,0
"36",2,5707,2005,4,12
"37",17,5707,2005,5,29
"38",17,5707,2005,6,27
"39",11,5707,2005,7,29
"40",1,5707,2005,8,19
"41",3,5707,2005,9,10
"42",0,5707,2005,10,0
"43",0,5707,2006,4,5
"44",0,5707,2006,5,18
"45",NA,5707,2006,6,NA
"46",25,5707,2006,7,30
"47",0,5707,2006,8,14
"48",4,5707,2006,9,14
"49",0,5707,2006,10,0
"50",0,5707,2007,4,20
"51",NA,5707,2007,5,NA
"52",0,5707,2007,6,19
"53",7,5707,2007,7,21
"54",0,5707,2007,8,14
"55",0,5707,2007,9,4
"56",NA,5707,2007,10,NA
"57",0,5707,2008,4,1
"58",0,5707,2008,5,10
"59",3,5707,2008,6,14
"60",NA,5707,2008,7,NA
"61",4,5707,2008,8,25
"62",0,5707,2008,9,12
"63",0,5707,2008,10,0
"64",0,5707,2009,4,0
"65",0,5707,2009,5,5
"66",2,5707,2009,6,11
"67",NA,5707,2009,7,NA
"68",6,5707,2009,8,25
"69",0,5707,2009,9,5
"70",0,5707,2009,10,0
"71",0,5707,2010,4,4
