"Area","Type","IdSensore","NomeTipoSensore","UnitaMisura","Idstazione","Quota","Provincia","Comune","Storico","DataStart","DataStop","Utm_Nord","UTM_Est","lat","lng","Location","Zone"
"U","T",5719,"Ozono","µg/m³",542,222,"MB","Meda","S","01/11/1995","12/10/2023",5056480,512203,45.660992,9.160225,"POINT (9.160225 45.660992)","Mi"
"S","B",17288,"Ozono","µg/m³",1374,181,"MB","Monza","N","09/02/2013","",5049780,521452,45.603072,9.276156,"POINT (9.276156 45.603072)","Mi"
"U","B",9882,"Ozono","µg/m³",674,162,"MB","Monza","N","21/10/2005","",5047450,521343,45.574117,9.263808,"POINT (9.263808 45.574117)","Mi"
"S","B",5707,"Ozono","µg/m³",551,182,"MI","Arconate","N","20/01/1999","",5043898,488082,45.54852147,8.84732669,"POINT (8.84732669 45.54852147)","A"
"U","B",5710,"Ozono","µg/m³",544,153,"MI","Cormano","N","03/11/1994","",5044180,512693,45.547597,9.166983,"POINT (9.166983 45.547597)","Mi"
"U","B",5717,"Ozono","µg/m³",531,114,"MI","Pioltello","N","13/05/1989","",5036730,525583,45.48363242,9.32736196,"POINT (9.32736196 45.48363242)","Mi"
"U","B",5718,"Ozono","µg/m³",546,137,"MI","Magenta","S","29/07/1995","",5034328,490635,45.46242074,8.88021388,"POINT (8.88021388 45.46242074)","A"
"U","B",10282,"Ozono","µg/m³",705,122,"MI","Milano","N","16/06/2007","",5036190,518405,45.478347,9.231667,"POINT (9.231667 45.478347)","Mi"
"U","T",5725,"Ozono","µg/m³",528,116,"MI","Milano","N","20/09/1988","",5034443,515270,45.46334886,9.19532511,"POINT (9.19532511 45.46334886)","Mi"
"S","B",5721,"Ozono","µg/m³",545,100,"MI","Motta Visconti","N","17/03/1998","",5014273,499103,45.28196356,8.98857592,"POINT (8.98857592 45.28196356)","B"
"S","B",17295,"Ozono","µg/m³",558,206,"VA","Busto Arsizio","N","26/01/2013","",5047718,487687,45.58289429,8.84216546,"POINT (8.84216546 45.58289429)","Mi"
"U","B",10041,"Ozono","µg/m³",687,215,"VA","Ferno","N","06/11/2006","",5051773,481053,45.61924753,8.75697656,"POINT (8.75697656 45.61924753)","A"
"U","B",5749,"Ozono","µg/m³",554,212,"VA","Saronno","N","09/05/1991","",5052646,502058,45.62735705,9.02640138,"POINT (9.02640138 45.62735705)","Mi"
"U","B",5750,"Ozono","µg/m³",552,425,"VA","Varese","N","23/12/1991","",5075945,484773,45.83690156,8.80393486,"POINT (8.80393486 45.83690156)","A"
"U","B",17297,"Ozono","µg/m³",583,249,"BG","Bergamo","N","24/01/2013","",5059922,550116,45.691044,9.64366225,"POINT (9.64366225 45.691044)","Bg"
"S","B",10025,"Ozono","µg/m³",685,273,"BG","Calusco d'Adda","N","30/06/2006","",5059767,537706,45.69043647,9.48426111,"POINT (9.48426111 45.69043647)","A"
"R","B",9899,"Ozono","µg/m³",609,108,"BG","Casirate d'Adda","N","01/12/2005","",5038450,543458,45.49822794,9.55624181,"POINT (9.55624181 45.49822794)","A"
"S","B",6904,"Ozono","µg/m³",596,182,"BG","Osio Sotto","N","08/09/2004","",5052072,547691,45.62055568,9.61173782,"POINT (9.61173782 45.62055568)","Bg"
